date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2,214,Rajasthan Royals,0,0,4,1,0,0,,,,,,,6,5,0,6,0,2,1,0,0,,,,,,,6,9,0,0,0,0,1,0,4,,,,,,,6,5,1,0,4,6,1,0,1,4,,,,,,7,16,0,6,6,4,1,4,1,,,,,,,6,22,0,4,4,1,6,0,1,,,,,,,6,16,0
2008-04-25,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,1,1,0,0,,,,,,,6,2,0,5,0,1,0,0,0,,,,,,,6,6,1,1,0,4,1,0,1,,,,,,,6,7,0,0,0,1,4,1,4,,,,,,,6,10,0,4,1,0,4,4,2,3,,,,,,7,18,0,0,2,6,0,4,1,4,,,,,,7,17,0
2008-04-25,"Punjab Cricket Association Stadium, Mohali",2,182,Mumbai Indians,0,1,0,0,1,0,,,,,,,6,2,0,1,6,0,0,1,4,0,,,,,,7,12,0,0,0,0,0,4,0,,,,,,,6,4,2,1,0,1,1,0,0,0,,,,,,7,3,0,4,0,4,1,4,0,,,,,,,6,13,0,1,2,0,1,0,1,,,,,,,6,5,0
2008-04-26,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,1,0,0,0,0,0,,,,,,,6,1,1,0,1,0,1,1,6,6,,,,,,7,15,0,0,0,0,1,0,0,,,,,,,6,1,1,4,0,4,0,0,4,,,,,,,6,12,0,4,4,1,0,4,0,,,,,,,6,13,0,0,0,1,4,6,4,,,,,,,6,15,0
2008-04-26,M Chinnaswamy Stadium,2,135,Rajasthan Royals,0,1,0,0,4,4,,,,,,,6,9,1,1,4,0,0,4,0,,,,,,,6,9,0,1,0,1,1,0,4,,,,,,,6,7,0,1,0,0,4,1,0,,,,,,,6,6,1,1,1,1,0,4,1,0,,,,,,7,8,0,0,0,1,0,1,4,,,,,,,6,6,0
2008-04-26,"MA Chidambaram Stadium, Chepauk",1,,Kolkata Knight Riders,2,1,0,1,0,4,,,,,,,6,8,0,0,0,1,4,6,4,1,,,,,,7,16,0,2,6,0,0,0,0,,,,,,,6,8,2,1,0,4,0,0,1,,,,,,,6,6,0,0,0,0,4,4,4,,,,,,,6,12,0,0,1,4,6,0,0,,,,,,,6,11,1
2008-04-26,"MA Chidambaram Stadium, Chepauk",2,147,Chennai Super Kings,0,0,1,0,0,4,0,,,,,,7,5,0,0,1,0,0,2,0,,,,,,,6,3,0,0,4,0,1,0,5,0,,,,,,7,10,0,2,4,0,1,0,0,0,,,,,,7,7,0,4,1,0,4,1,0,,,,,,,6,10,0,4,4,1,1,0,0,,,,,,,6,10,0
2008-04-27,Dr DY Patil Sports Academy,1,,Mumbai Indians,0,4,0,1,1,0,0,,,,,,7,6,0,0,0,4,0,0,4,,,,,,,6,8,0,1,0,0,0,0,0,,,,,,,6,1,1,0,3,0,0,0,0,,,,,,,6,3,1,1,0,0,1,1,1,0,,,,,,7,4,0,1,4,0,0,0,0,0,,,,,,7,5,1
2008-04-27,Dr DY Patil Sports Academy,2,154,Deccan Chargers,0,4,4,0,1,1,,,,,,,6,10,0,1,4,0,1,0,4,,,,,,,6,10,0,0,4,1,0,4,0,,,,,,,6,9,0,0,0,4,4,0,0,,,,,,,6,8,0,0,1,0,2,6,1,,,,,,,6,10,0,4,0,0,6,1,1,1,,,,,,7,13,0
2008-04-27,"Punjab Cricket Association Stadium, Mohali",1,,Delhi Daredevils,0,1,1,1,4,1,,,,,,,6,8,0,1,1,1,0,0,0,0,,,,,,7,3,1,0,1,0,4,0,1,,,,,,,6,6,1,1,0,4,4,1,1,1,,,,,,7,12,0,4,1,1,1,4,0,,,,,,,6,11,0,0,0,4,0,1,0,,,,,,,6,5,1
2008-04-27,"Punjab Cricket Association Stadium, Mohali",2,158,Kings XI Punjab,1,0,0,1,0,0,,,,,,,6,2,1,0,0,2,3,4,0,,,,,,,6,9,1,0,0,4,4,1,1,,,,,,,6,10,0,0,0,1,4,4,4,,,,,,,6,13,0,1,0,0,0,4,4,,,,,,,6,9,0,2,4,1,1,0,4,,,,,,,6,12,0
2008-04-28,M Chinnaswamy Stadium,1,,Chennai Super Kings,1,0,0,0,0,0,,,,,,,6,1,0,0,1,0,4,1,4,,,,,,,6,10,0,1,1,0,1,0,1,2,1,,,,,8,7,0,0,0,0,0,4,0,,,,,,,6,4,1,0,0,0,1,1,1,,,,,,,6,3,0,1,4,1,4,0,1,,,,,,,6,11,0
2008-04-28,M Chinnaswamy Stadium,2,178,Royal Challengers Bangalore,1,1,0,1,0,1,1,1,,,,,8,6,0,1,0,0,4,0,1,,,,,,,6,6,0,0,1,0,0,0,0,,,,,,,6,1,0,0,2,1,4,0,0,,,,,,,6,7,1,0,6,1,1,0,4,,,,,,,6,12,0,2,0,4,1,0,6,,,,,,,6,13,0
2008-04-29,Eden Gardens,1,,Kolkata Knight Riders,1,4,0,1,0,0,,,,,,,6,6,2,0,1,4,4,0,0,,,,,,,6,9,0,0,0,1,0,6,0,,,,,,,6,7,0,0,1,1,4,0,4,1,,,,,,7,11,0,0,0,4,0,0,1,,,,,,,6,5,0,1,1,0,0,0,0,,,,,,,6,2,1
2008-04-29,Eden Gardens,2,137,Mumbai Indians,0,1,0,1,0,0,4,0,,,,,8,6,0,4,0,6,0,0,0,,,,,,,6,10,0,0,0,0,0,0,1,0,,,,,,7,1,1,0,4,4,0,0,0,,,,,,,6,8,1,0,4,0,0,0,0,,,,,,,6,4,1,4,0,1,0,4,0,,,,,,,6,9,0
2008-04-30,Feroz Shah Kotla,1,,Delhi Daredevils,1,0,1,0,1,0,,,,,,,6,3,0,1,1,0,4,4,4,,,,,,,6,14,0,1,1,0,4,0,4,0,,,,,,7,10,0,6,4,4,1,1,2,,,,,,,6,18,0,2,1,4,1,0,0,,,,,,,6,8,1,1,0,0,0,0,4,,,,,,,6,5,0
2008-04-30,Feroz Shah Kotla,2,191,Royal Challengers Bangalore,0,4,0,2,0,1,,,,,,,6,7,1,0,0,4,1,1,4,,,,,,,6,10,0,1,1,1,6,1,0,,,,,,,6,10,0,6,2,0,1,6,0,,,,,,,6,15,0,4,0,1,1,0,0,,,,,,,6,6,2,0,1,0,4,1,1,,,,,,,6,7,0
2008-05-01,"Rajiv Gandhi International Stadium, Uppal",1,,Deccan Chargers,0,1,0,4,0,1,,,,,,,6,6,0,1,1,4,0,4,0,,,,,,,6,10,0,1,1,3,0,4,1,,,,,,,6,10,0,1,0,1,1,1,0,0,,,,,,7,4,1,0,1,1,0,1,4,1,,,,,,7,8,0,4,0,4,1,3,0,,,,,,,6,12,0
2008-05-01,"Rajiv Gandhi International Stadium, Uppal",2,164,Kings XI Punjab,0,4,0,4,2,1,,,,,,,6,11,0,0,1,0,0,4,1,,,,,,,6,6,0,1,1,0,1,4,4,,,,,,,6,11,0,0,0,4,1,0,0,,,,,,,6,5,0,1,1,0,1,0,1,,,,,,,6,4,0,0,2,1,1,0,0,,,,,,,6,4,1
2008-05-01,Sawai Mansingh Stadium,1,,Rajasthan Royals,0,0,1,4,0,0,,,,,,,6,5,0,0,0,1,4,1,0,,,,,,,6,6,1,1,0,4,1,0,0,4,,,,,,7,10,0,1,4,0,0,0,0,,,,,,,6,5,0,6,0,0,4,2,0,,,,,,,6,12,0,0,0,1,1,1,4,,,,,,,6,7,0
2008-05-01,Sawai Mansingh Stadium,2,196,Kolkata Knight Riders,2,0,0,1,1,1,4,,,,,,7,9,0,4,1,1,0,0,1,0,6,,,,,8,13,1,1,0,0,0,6,1,1,,,,,,7,9,0,0,0,2,4,1,1,,,,,,,6,8,0,0,0,4,1,0,0,,,,,,,6,5,1,0,4,1,1,0,1,0,,,,,,7,7,1
2008-05-02,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,1,0,0,0,3,0,,,,,,,6,4,0,1,0,0,1,4,0,1,,,,,,7,7,0,0,1,0,1,0,0,,,,,,,6,2,0,1,5,4,0,4,0,1,0,,,,,8,15,1,1,2,1,0,4,1,,,,,,,6,9,0,1,4,0,4,0,1,,,,,,,6,10,0
2008-05-02,"MA Chidambaram Stadium, Chepauk",2,169,Delhi Daredevils,1,0,0,6,0,1,,,,,,,6,8,0,6,0,6,2,1,1,1,,,,,,7,17,0,1,0,0,4,1,0,,,,,,,6,6,0,2,4,1,0,1,4,,,,,,,6,12,0,1,1,0,4,4,1,,,,,,,6,11,0,2,4,0,0,4,0,,,,,,,6,10,0
2008-05-03,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,4,0,0,1,,,,,,,6,5,0,1,4,4,0,1,1,,,,,,,6,11,0,1,0,4,0,1,1,,,,,,,6,7,0,1,0,4,0,0,4,,,,,,,6,9,1,1,1,1,0,4,1,4,,,,,,7,12,0,4,0,1,0,0,0,0,,,,,,7,5,0
2008-05-03,"Punjab Cricket Association Stadium, Mohali",2,178,Kolkata Knight Riders,1,0,5,4,0,0,0,,,,,,7,10,0,0,0,0,6,0,0,,,,,,,6,6,0,1,0,4,1,0,1,,,,,,,6,7,1,0,0,1,0,1,0,,,,,,,6,2,2,0,0,0,4,0,0,,,,,,,6,4,1,0,1,0,1,0,0,0,,,,,,7,2,0
2008-05-03,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,0,1,0,0,1,0,,,,,,,6,2,0,1,1,1,4,4,0,,,,,,,6,11,1,0,0,0,4,4,1,,,,,,,6,9,0,4,0,1,0,1,4,0,,,,,,7,10,0,1,1,1,0,1,1,2,,,,,,7,7,0,1,0,4,0,1,1,,,,,,,6,7,0
2008-05-03,M Chinnaswamy Stadium,2,156,Deccan Chargers,1,1,0,1,0,0,4,,,,,,7,7,0,2,0,0,0,1,1,,,,,,,6,4,0,0,0,1,0,4,1,,,,,,,6,6,0,0,1,0,4,0,4,,,,,,,6,9,1,0,4,0,0,0,1,,,,,,,6,5,0,0,0,0,0,1,1,,,,,,,6,2,1
2008-05-04,Sawai Mansingh Stadium,1,,Chennai Super Kings,0,0,1,0,0,0,,,,,,,6,1,2,4,0,0,1,0,0,4,,,,,,7,9,0,0,0,1,0,0,1,,,,,,,6,2,1,0,0,0,0,4,0,,,,,,,6,4,0,4,1,0,3,4,2,,,,,,,6,14,0,4,0,0,4,0,0,,,,,,,6,8,1
2008-05-04,Sawai Mansingh Stadium,2,109,Rajasthan Royals,0,0,0,0,0,0,,,,,,,6,0,0,4,0,0,0,1,1,,,,,,,6,6,0,1,1,4,0,1,1,,,,,,,6,8,0,0,1,1,0,4,4,,,,,,,6,10,0,1,1,0,0,4,4,,,,,,,6,10,0,4,1,0,4,0,1,,,,,,,6,10,0
2008-05-04,Dr DY Patil Sports Academy,1,,Mumbai Indians,0,0,1,0,4,0,,,,,,,6,5,0,0,1,4,4,0,0,,,,,,,6,9,0,0,0,0,1,1,1,,,,,,,6,3,0,2,0,1,1,4,1,0,,,,,,7,9,0,1,0,0,4,4,0,,,,,,,6,9,0,6,4,1,0,4,0,,,,,,,6,15,2
2008-05-04,Dr DY Patil Sports Academy,2,162,Delhi Daredevils,0,1,1,0,0,0,,,,,,,6,2,0,1,0,0,0,0,1,,,,,,,6,2,1,0,0,0,0,2,0,,,,,,,6,2,1,1,6,4,1,4,0,,,,,,,6,16,0,0,0,0,0,1,6,,,,,,,6,7,0,1,1,2,0,0,4,,,,,,,6,8,0
2008-05-05,M Chinnaswamy Stadium,1,,Royal Challengers Bangalore,1,0,0,0,0,0,0,,,,,,7,1,2,0,0,1,0,4,0,1,,,,,,7,6,0,0,0,2,1,1,0,0,,,,,,7,4,0,4,0,0,0,0,0,,,,,,,6,4,1,0,0,0,0,4,0,,,,,,,6,4,0,1,2,4,0,0,0,,,,,,,6,7,0
2008-05-05,M Chinnaswamy Stadium,2,126,Kings XI Punjab,1,0,1,0,0,4,,,,,,,6,6,0,4,1,0,1,0,1,0,0,0,,,,9,7,1,1,6,1,0,0,1,0,,,,,,7,9,0,1,1,0,4,0,4,,,,,,,6,10,0,1,0,4,0,1,6,,,,,,,6,12,0,4,1,1,1,0,1,,,,,,,6,8,0
2008-05-06,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,0,0,4,0,0,0,,,,,,,6,4,1,0,0,4,1,0,1,,,,,,,6,6,0,0,2,0,2,0,0,,,,,,,6,4,0,1,0,0,0,1,0,1,4,,,,,8,7,1,0,1,0,4,1,4,,,,,,,6,10,0,0,1,1,0,1,0,0,,,,,,7,3,1
2008-05-06,"MA Chidambaram Stadium, Chepauk",2,144,Deccan Chargers,2,0,1,0,0,0,,,,,,,6,3,0,0,0,0,0,1,0,,,,,,,6,1,0,1,0,6,0,0,4,,,,,,,6,11,0,0,1,0,4,0,4,0,,,,,,7,9,0,0,1,0,4,0,1,,,,,,,6,6,1,6,4,6,1,1,2,,,,,,,6,20,0
2008-05-07,Dr DY Patil Sports Academy,1,,Rajasthan Royals,0,1,1,0,1,2,,,,,,,6,5,0,2,0,1,4,0,0,,,,,,,6,7,0,0,0,0,1,4,4,,,,,,,6,9,1,0,0,0,0,4,1,,,,,,,6,5,1,2,1,1,1,0,0,,,,,,,6,5,0,4,6,0,1,0,6,,,,,,,6,17,0
2008-05-07,Dr DY Patil Sports Academy,2,103,Mumbai Indians,0,0,0,1,0,1,0,0,,,,,8,2,0,0,1,0,1,2,0,0,,,,,,7,4,0,0,1,0,1,0,0,,,,,,,6,2,0,5,0,6,1,0,1,,,,,,,6,13,0,0,0,6,2,0,0,,,,,,,6,8,0,2,1,0,1,0,1,,,,,,,6,5,0
2008-05-08,Feroz Shah Kotla,1,,Delhi Daredevils,0,1,4,0,1,1,,,,,,,6,7,0,1,4,4,0,0,1,1,1,,,,,8,12,0,3,1,1,4,1,1,,,,,,,6,11,0,1,1,1,1,1,4,,,,,,,6,9,0,1,0,4,0,1,0,,,,,,,6,6,1,1,0,0,4,0,0,,,,,,,6,5,1
2008-05-08,Feroz Shah Kotla,2,187,Chennai Super Kings,4,0,4,0,1,0,,,,,,,6,9,0,4,4,0,1,4,2,,,,,,,6,15,0,0,1,0,1,1,1,,,,,,,6,4,0,1,3,1,0,1,0,,,,,,,6,6,0,1,1,1,4,0,0,1,,,,,,7,8,0,4,6,2,0,0,4,4,,,,,,7,20,0
2008-05-08,Eden Gardens,1,,Kolkata Knight Riders,0,1,0,0,1,0,,,,,,,6,2,0,1,1,0,0,4,1,0,,,,,,7,7,0,0,1,0,4,0,1,4,,,,,,7,10,1,1,0,0,0,5,0,,,,,,,6,6,1,0,0,1,0,6,4,,,,,,,6,11,0,0,2,1,0,1,1,,,,,,,6,5,0
2008-05-08,Eden Gardens,2,129,Royal Challengers Bangalore,0,0,0,0,0,4,,,,,,,6,4,0,0,0,0,4,1,0,,,,,,,6,5,0,1,0,1,1,1,4,0,,,,,,7,8,0,0,0,0,1,0,1,,,,,,,6,2,1,0,4,1,4,4,0,0,,,,,,7,13,1,0,0,1,1,0,1,,,,,,,6,3,0
2008-05-09,Sawai Mansingh Stadium,1,,Deccan Chargers,4,0,0,0,0,4,,,,,,,6,8,0,0,1,1,1,0,1,1,,,,,,7,5,0,4,0,0,4,4,0,,,,,,,6,12,0,0,1,1,0,2,0,,,,,,,6,4,0,0,0,6,1,4,1,,,,,,,6,12,0,1,0,4,0,0,4,,,,,,,6,9,0
2008-05-09,Sawai Mansingh Stadium,2,140,Rajasthan Royals,4,4,0,0,1,1,,,,,,,6,10,0,0,0,1,0,0,0,,,,,,,6,1,0,0,1,0,1,1,6,0,,,,,,7,9,0,0,1,1,0,1,1,4,,,,,,7,8,0,0,1,1,2,0,1,,,,,,,6,5,0,1,1,1,6,4,4,,,,,,,6,17,0
2008-05-10,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings,0,1,1,4,4,0,2,0,,,,,8,12,1,0,1,0,1,0,2,4,,,,,,7,8,0,0,0,1,0,0,0,1,,,,,,7,2,1,0,1,0,1,1,2,0,,,,,,7,5,0,1,1,1,0,4,4,,,,,,,6,11,0,4,2,6,0,1,0,1,1,,,,,8,15,0
2008-05-10,"MA Chidambaram Stadium, Chepauk",2,181,Kings XI Punjab,0,1,6,4,1,0,,,,,,,6,12,0,2,1,0,1,0,0,,,,,,,6,4,1,0,4,1,0,0,0,,,,,,,6,5,0,4,0,3,1,0,0,,,,,,,6,8,0,0,0,0,1,0,1,,,,,,,6,2,1,1,0,1,1,1,0,,,,,,,6,4,0
2008-05-11,Sawai Mansingh Stadium,1,,Delhi Daredevils,4,3,0,1,4,0,,,,,,,6,12,0,0,1,0,0,2,0,,,,,,,6,3,0,1,1,0,4,1,1,,,,,,,6,8,0,4,1,0,0,0,1,,,,,,,6,6,0,1,1,1,4,1,1,1,,,,,,7,10,0,0,1,4,1,2,0,,,,,,,6,8,1
2008-05-11,Sawai Mansingh Stadium,2,156,Rajasthan Royals,0,0,1,0,0,0,,,,,,,6,1,0,4,2,0,0,0,0,,,,,,,6,6,0,1,1,1,1,0,0,0,,,,,,7,4,0,0,0,1,1,0,1,0,,,,,,7,3,1,0,0,0,1,0,0,,,,,,,6,1,1,1,0,0,1,0,4,,,,,,,6,6,0
2008-05-11,"Rajiv Gandhi International Stadium, Uppal",1,,Kolkata Knight Riders,0,4,0,0,2,0,,,,,,,6,6,1,0,0,0,1,0,1,,,,,,,6,2,0,1,0,1,4,4,1,,,,,,,6,11,0,0,4,0,4,1,0,,,,,,,6,9,0,0,0,4,0,0,1,,,,,,,6,5,0,0,0,4,1,4,1,,,,,,,6,10,0
2008-05-11,"Rajiv Gandhi International Stadium, Uppal",2,204,Deccan Chargers,0,0,0,1,0,4,,,,,,,6,5,0,0,1,0,0,1,4,,,,,,,6,6,0,0,1,0,4,0,0,1,,,,,,7,6,1,1,0,4,0,1,4,,,,,,,6,10,0,4,2,4,4,0,0,,,,,,,6,14,1,0,1,4,1,5,0,1,1,1,,,,9,14,1
2008-05-12,"Punjab Cricket Association Stadium, Mohali",1,,Royal Challengers Bangalore,1,0,0,2,0,0,,,,,,,6,3,0,1,0,0,0,0,0,,,,,,,6,1,0,0,1,0,1,4,4,,,,,,,6,10,1,4,4,0,0,1,1,,,,,,,6,10,0,6,1,0,1,4,0,,,,,,,6,12,1,5,4,4,0,1,0,0,,,,,,7,14,1
2008-05-12,"Punjab Cricket Association Stadium, Mohali",2,143,Kings XI Punjab,2,1,0,4,2,1,2,,,,,,7,12,0,0,0,0,0,0,1,,,,,,,6,1,0,0,1,1,1,1,0,,,,,,,6,4,0,0,0,0,6,1,1,,,,,,,6,8,0,1,0,6,1,0,0,,,,,,,6,8,0,0,0,1,1,6,1,,,,,,,6,9,0
2008-05-13,Eden Gardens,1,,Kolkata Knight Riders,1,0,0,1,0,1,,,,,,,6,3,0,0,0,1,4,1,1,1,,,,,,7,8,0,4,1,1,0,0,0,,,,,,,6,6,0,0,0,0,0,1,4,,,,,,,6,5,0,1,0,1,0,0,4,,,,,,,6,6,0,1,0,4,1,0,1,0,0,,,,,8,7,1
2008-05-13,Eden Gardens,2,133,Delhi Daredevils,1,1,0,0,2,0,1,,,,,,7,5,1,1,4,0,1,1,4,,,,,,,6,11,0,0,1,0,0,1,0,,,,,,,6,2,1,4,4,0,0,1,1,,,,,,,6,10,0,0,0,0,0,0,4,,,,,,,6,4,2,4,0,0,1,0,0,,,,,,,6,5,0
2008-05-14,Wankhede Stadium,1,,Chennai Super Kings,0,1,0,0,0,0,,,,,,,6,1,0,4,0,0,4,0,4,,,,,,,6,12,0,1,1,1,2,0,0,,,,,,,6,5,1,0,1,0,1,0,0,,,,,,,6,2,0,0,0,2,0,1,0,,,,,,,6,3,0,4,0,0,1,0,0,,,,,,,6,5,1
2008-05-14,Wankhede Stadium,2,156,Mumbai Indians,0,0,3,0,0,4,,,,,,,6,7,0,1,4,0,0,6,0,1,,,,,,7,12,0,0,0,1,0,1,1,1,0,,,,,8,4,0,6,1,0,6,1,0,,,,,,,6,14,0,0,6,0,6,1,6,1,,,,,,7,20,0,6,4,4,1,0,6,0,,,,,,7,21,0
2008-05-15,Feroz Shah Kotla,1,,Delhi Daredevils,2,0,4,1,0,0,,,,,,,6,7,1,0,1,0,0,4,0,,,,,,,6,5,0,0,1,0,1,0,0,,,,,,,6,2,0,1,1,6,6,4,1,1,,,,,,7,20,0,0,1,1,0,1,3,,,,,,,6,6,0,1,1,4,0,1,1,0,,,,,,7,8,0
2008-05-15,Feroz Shah Kotla,2,194,Deccan Chargers,0,4,1,0,4,1,,,,,,,6,10,0,1,1,4,4,0,0,1,,,,,,7,11,0,0,0,0,1,5,0,,,,,,,6,6,1,4,1,0,1,4,1,6,,,,,,7,17,0,6,0,6,0,1,4,,,,,,,6,17,0,1,0,1,1,6,1,,,,,,,6,10,0
